Frame,Particles,OpenMP_ms,CUDA_ms,Speedup,Density,Stiffness,Viscosity,SupportRadius
100,2048,97.5205,13.7853,7.07423,1000,1000,0.5,0.45
200,2048,95.2737,13.678,6.96545,1000,29571.5,8.238,0.45
300,2048,91.2432,13.6822,6.66874,1000,29571.5,36.214,0.45
400,2048,94.2803,13.8221,6.821,1000,29571.5,36.214,0.45
500,2048,96.4448,13.8658,6.95561,1000,53381.1,36.214,0.45
600,2048,95.8745,13.9154,6.88979,1000,53381.1,36.214,0.45
700,2048,95.6512,13.9438,6.85975,1000,53381.1,36.214,0.45
800,2048,95.5243,13.9691,6.83827,1000,53381.1,36.214,0.45
900,2048,95.7558,13.9868,6.84614,1000,53381.1,36.214,0.45
1000,2048,95.7325,14.0023,6.83691,1000,53381.1,36.214,0.45
1100,2048,95.6279,14.0161,6.8227,1000,53381.1,36.214,0.45
1200,2048,95.3437,14.0265,6.79738,1000,53381.1,36.214,0.45
1300,2048,95.1563,14.0371,6.77893,1000,53381.1,36.214,0.45
