Frame,Particles,OpenMP_ms,CUDA_ms,Speedup,Density,Stiffness,Viscosity,SupportRadius
100,864,22.5452,10.8054,2.08647,1000,1000,0.5,0.5
200,864,29.1299,10.8997,2.67255,1000,1000,0.5,0.5
300,864,30.9243,10.971,2.81873,1000,45238.1,11.81,0.5
400,864,30.9459,10.9873,2.81651,1000,45238.1,11.81,0.5
500,864,30.4816,10.948,2.78422,1000,45238.1,11.81,0.5
600,864,30.257,10.9605,2.76054,1000,45238.1,27.976,0.5
700,864,29.8607,10.9438,2.72854,1000,45238.1,27.976,0.5
800,864,29.6232,10.9657,2.70144,1000,45238.1,27.976,0.5
900,864,29.7732,10.9945,2.70801,1000,45238.1,27.976,0.5
1000,864,31.8094,11.0012,2.89145,1000,159524,22.619,0.5
1100,864,31.4938,11.0055,2.86163,1000,159524,22.619,0.5
1200,864,31.4303,11.0467,2.84524,1000,159524,22.619,0.5
1300,864,31.0944,11.0312,2.81876,1000,159524,30.357,0.5
1400,864,30.7423,11.0268,2.78796,1000,159524,30.357,0.5
1500,864,30.7335,11.0199,2.7889,1000,159524,30.357,0.5
1600,864,30.5724,11.0329,2.77103,1000,159524,30.357,0.5
1700,864,30.44,11.0231,2.76148,1000,159524,30.357,0.5
1800,864,30.128,11.0205,2.73381,1000,159524,30.357,0.5
1900,864,30.0388,11.0408,2.72071,1000,159524,30.357,0.5
2000,864,29.9427,11.0617,2.70689,1000,159524,30.357,0.5
2100,864,29.8569,11.0818,2.69424,1000,159524,22.619,0.5
2200,864,29.6908,11.0695,2.68223,1000,78571.4,22.619,0.5
2300,864,29.6459,11.0589,2.68074,1000,78571.4,22.619,0.5
2400,864,29.6604,11.0666,2.68018,1000,78571.4,22.619,0.5
2500,864,29.6232,11.0836,2.6727,1000,78571.4,22.619,0.5
2600,864,29.6741,11.0977,2.67389,1000,78571.4,22.619,0.5
2700,864,29.5866,11.1094,2.66321,1000,78571.4,22.619,0.5
2800,864,29.4188,11.1058,2.64897,1000,78571.4,22.619,0.5
